Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT100028,Drunk Driving,2397,Delhi,2023-01-29,14:41,Bike,Yellow,2002,Punjab,23,Female,Two-Wheeler,3,Clear,Potholes,OFF6662,RTO,Valid,5,Yes,No,Green,30,89,0.33,Negative,Yes,No,Card,Yes,5,First Violation
VLT100029,Using Mobile Phone,1163,Maharashtra,2023-01-30,00:17,Bus,Grey,2020,Maharashtra,74,Male,Heavy Vehicle,10,Dust Storm,Dry,OFF4573,Local Police,Expired,5,N/A,No,Green,50,97,0.38,Positive,Yes,No,Not Paid,Yes,0,
VLT100030,No Helmet,4508,Uttar Pradesh,2023-01-31,07:42,Car,Silver,2009,West Bengal,73,Male,Learner,1,Clear,Under Construction,OFF6687,Highway Patrol,Valid,1,No,N/A,Green,40,101,0.17,Not Conducted,Yes,Yes,Card,Yes,3,Fine Paid On Spot
VLT100031,Using Mobile Phone,3358,Delhi,2023-02-01,15:46,Bus,Yellow,2021,West Bengal,51,Female,Heavy Vehicle,4,Cloudy,Potholes,OFF6939,Highway Patrol,Expired,5,Yes,No,Yellow,80,34,0.29,Not Conducted,Yes,No,Not Paid,No,5,Repeat Offender
VLT100032,No Helmet,323,Uttar Pradesh,2023-02-02,10:41,Scooter,Silver,2013,Tamil Nadu,52,Male,Four-Wheeler,6,Rainy,Dry,OFF6108,Local Police,Suspended,5,N/A,No,Yellow,40,21,0.17,Negative,No,Yes,Card,Yes,3,First Violation
VLT100033,Signal Jumping,3636,Punjab,2023-02-03,09:16,Car,Yellow,2018,Delhi,69,Male,Two-Wheeler,10,Cloudy,Slippery,OFF8194,Traffic Police,Expired,2,No,N/A,Green,80,40,0.3,Positive,Yes,Yes,Not Paid,Yes,3,First Violation
VLT100034,No Seatbelt,2937,Karnataka,2023-02-04,04:35,Truck,Red,2011,Delhi,19,Male,Four-Wheeler,2,Foggy,Slippery,OFF4686,Traffic Police,Suspended,3,Yes,N/A,Yellow,40,27,0.35,Not Conducted,Yes,No,Cash,Yes,2,First Violation
VLT100035,No Helmet,2943,Delhi,2023-02-05,12:42,Bike,Grey,2004,Tamil Nadu,40,Female,Four-Wheeler,3,Rainy,Potholes,OFF4462,Traffic Police,Suspended,4,No,N/A,Yellow,100,67,0.32,Positive,No,No,Not Paid,Yes,2,
VLT100036,Drunk Driving,2252,Tamil Nadu,2023-02-06,04:44,Scooter,Grey,1996,Uttar Pradesh,45,Female,Learner,10,Dust Storm,Dry,OFF2047,Local Police,Expired,3,No,No,Green,80,118,0.25,Negative,Yes,No,Cash,Yes,5,
VLT100037,Signal Jumping,2411,Karnataka,2023-02-07,23:32,Scooter,White,2017,Karnataka,50,Female,Four-Wheeler,3,Dust Storm,Under Construction,OFF3703,Highway Patrol,Expired,4,Yes,No,Yellow,40,95,0.22,Positive,Yes,Yes,Card,Yes,3,Repeat Offender
VLT100038,Driving Without License,3984,Gujarat,2023-02-08,04:53,Bus,Black,2019,Uttar Pradesh,67,Male,Two-Wheeler,8,Dust Storm,Potholes,OFF3801,Highway Patrol,Valid,3,No,Yes,Green,50,84,0.27,Not Conducted,Yes,Yes,Cash,Yes,2,First Violation
VLT100039,Drunk Driving,2044,Karnataka,2023-02-09,02:55,Bus,Black,2018,West Bengal,47,Other,Heavy Vehicle,2,Dust Storm,Under Construction,OFF2878,Highway Patrol,Suspended,5,Yes,Yes,Green,60,84,0.43,Negative,Yes,Yes,Cash,No,2,Fine Paid On Spot
VLT100040,Signal Jumping,3476,Karnataka,2023-02-10,07:44,Bike,Green,2005,Maharashtra,52,Female,Two-Wheeler,0,Clear,Slippery,OFF7641,Highway Patrol,Suspended,2,N/A,No,Red,40,41,0.45,Not Conducted,Yes,No,Card,Yes,3,First Violation
VLT100041,Driving Without License,801,Delhi,2023-02-11,04:19,Auto Rickshaw,Silver,2013,Karnataka,73,Other,Learner,3,Rainy,Wet,OFF7309,Highway Patrol,Suspended,2,N/A,No,Red,40,102,0.29,Negative,No,Yes,Online,Yes,2,Repeat Offender
VLT100042,Signal Jumping,3215,Uttar Pradesh,2023-02-12,16:19,Truck,Silver,2019,Maharashtra,43,Male,Learner,7,Rainy,Dry,OFF6530,Local Police,Valid,1,No,Yes,Red,60,55,0.2,Not Conducted,Yes,No,Not Paid,Yes,4,First Violation
VLT100043,Overloading,4981,West Bengal,2023-02-13,12:57,Bike,Yellow,2011,Delhi,69,Female,Heavy Vehicle,3,Cloudy,Under Construction,OFF2101,Traffic Police,Suspended,1,N/A,Yes,Green,80,41,0.24,Negative,Yes,Yes,Not Paid,Yes,4,Fine Paid On Spot
VLT100044,Over-speeding,3162,Maharashtra,2023-02-14,02:01,Auto Rickshaw,White,1996,Karnataka,26,Male,Learner,7,Dust Storm,Dry,OFF3879,Traffic Police,Suspended,1,Yes,No,Green,60,73,0.12,Not Conducted,Yes,Yes,Not Paid,Yes,3,
VLT100045,Driving Without License,3809,West Bengal,2023-02-15,11:07,Truck,Green,2015,Tamil Nadu,18,Male,Two-Wheeler,10,Cloudy,Slippery,OFF2516,Local Police,Suspended,3,N/A,No,Yellow,100,87,0.34,Not Conducted,No,Yes,Online,Yes,2,First Violation
VLT100046,No Seatbelt,4716,Punjab,2023-02-16,14:19,Car,Blue,2008,Karnataka,64,Male,Heavy Vehicle,3,Clear,Slippery,OFF8812,Traffic Police,Suspended,4,N/A,No,Yellow,100,56,0.43,Negative,Yes,Yes,Cash,Yes,0,First Violation
VLT100047,Driving Without License,4397,West Bengal,2023-02-17,22:02,Bike,Silver,2008,Gujarat,42,Male,Two-Wheeler,1,Rainy,Wet,OFF5433,Highway Patrol,Valid,1,Yes,Yes,Yellow,30,99,0.27,Negative,Yes,Yes,Cash,Yes,2,
VLT100048,No Seatbelt,3287,Gujarat,2023-02-18,14:37,Bus,Yellow,1999,Delhi,72,Male,Heavy Vehicle,9,Clear,Slippery,OFF6160,Local Police,Suspended,4,N/A,Yes,Red,50,25,0.36,Not Conducted,No,No,Not Paid,No,1,
VLT100049,Driving Without License,1044,Punjab,2023-02-19,03:48,Auto Rickshaw,Blue,1998,Delhi,47,Other,Heavy Vehicle,7,Foggy,Under Construction,OFF2391,Highway Patrol,Expired,2,Yes,No,Green,100,83,0.17,Negative,No,No,Cash,Yes,2,First Violation
VLT100050,Over-speeding,4845,Gujarat,2023-02-20,08:18,Bike,Yellow,1997,Tamil Nadu,18,Female,Heavy Vehicle,3,Foggy,Potholes,OFF8132,Traffic Police,Suspended,2,Yes,No,Red,80,99,0.01,Negative,No,No,Not Paid,No,0,
VLT100051,Signal Jumping,138,Uttar Pradesh,2023-02-21,05:59,Bike,Green,2002,West Bengal,63,Other,Heavy Vehicle,5,Cloudy,Wet,OFF3171,Local Police,Valid,1,Yes,No,Green,40,85,0.22,Positive,Yes,No,Card,Yes,5,Repeat Offender
VLT100052,Overloading,1311,Delhi,2023-02-22,22:21,Bus,White,1995,Delhi,20,Other,Heavy Vehicle,6,Foggy,Slippery,OFF8738,Traffic Police,Valid,5,N/A,No,Green,80,26,0.23,Positive,Yes,No,Cash,No,3,
VLT100053,Overloading,2288,Delhi,2023-02-23,11:30,Scooter,Blue,1995,Delhi,59,Female,Four-Wheeler,1,Dust Storm,Under Construction,OFF3914,Traffic Police,Suspended,2,N/A,Yes,Red,30,45,0.09,Not Conducted,No,Yes,Not Paid,No,0,First Violation
VLT100054,Using Mobile Phone,4138,Tamil Nadu,2023-02-24,21:11,Auto Rickshaw,Black,2013,Karnataka,21,Male,Heavy Vehicle,1,Clear,Under Construction,OFF4211,Highway Patrol,Valid,5,No,No,Green,40,96,0.2,Positive,Yes,Yes,Online,Yes,1,Fine Paid On Spot
VLT100055,Wrong Parking,1177,Uttar Pradesh,2023-02-25,07:50,Truck,Grey,2017,Maharashtra,51,Other,Two-Wheeler,8,Clear,Potholes,OFF4676,Highway Patrol,Expired,1,Yes,No,Green,80,112,0.11,Negative,No,Yes,Not Paid,No,5,
VLT100056,Over-speeding,2034,Tamil Nadu,2023-02-26,17:10,Bike,Black,2014,Karnataka,21,Female,Commercial,7,Clear,Dry,OFF5776,Traffic Police,Suspended,2,Yes,No,Red,100,70,0.16,Negative,Yes,Yes,Card,Yes,4,First Violation
VLT100057,Driving Without License,3162,Tamil Nadu,2023-02-27,09:36,Auto Rickshaw,Grey,2015,Maharashtra,27,Other,Heavy Vehicle,1,Cloudy,Potholes,OFF3351,Local Police,Valid,5,Yes,Yes,Green,50,101,0.41,Positive,Yes,Yes,Cash,Yes,3,
VLT100058,No Helmet,4919,West Bengal,2023-02-28,07:19,Auto Rickshaw,Green,2009,Delhi,72,Male,Commercial,9,Rainy,Under Construction,OFF5019,Highway Patrol,Valid,4,N/A,Yes,Green,80,63,0.27,Not Conducted,No,No,Not Paid,No,5,
VLT100059,Driving Without License,2938,Uttar Pradesh,2023-03-01,18:19,Scooter,Blue,2000,Gujarat,59,Male,Heavy Vehicle,9,Dust Storm,Dry,OFF1118,Highway Patrol,Valid,2,Yes,Yes,Red,100,48,0.32,Negative,Yes,No,Online,Yes,4,Repeat Offender
VLT100060,Overloading,397,Gujarat,2023-03-02,02:56,Scooter,Green,2005,Tamil Nadu,38,Other,Heavy Vehicle,6,Foggy,Wet,OFF6264,Traffic Police,Valid,1,Yes,N/A,Green,60,71,0.12,Positive,No,No,Cash,No,2,Fine Paid On Spot
VLT100061,Driving Without License,331,Karnataka,2023-03-03,12:04,Car,Grey,2022,Punjab,36,Female,Learner,10,Rainy,Slippery,OFF6197,RTO,Suspended,4,N/A,N/A,Red,60,80,0.12,Positive,Yes,No,Card,Yes,5,Fine Paid On Spot
VLT100062,No Seatbelt,2253,Gujarat,2023-03-04,22:54,Bike,Blue,2011,West Bengal,50,Female,Learner,0,Foggy,Slippery,OFF5914,Local Police,Expired,5,Yes,N/A,Green,40,104,0.25,Not Conducted,No,No,Card,Yes,3,First Violation
VLT100063,No Helmet,878,Tamil Nadu,2023-03-05,04:22,Bus,White,2006,West Bengal,35,Male,Commercial,3,Clear,Dry,OFF5450,RTO,Suspended,5,No,N/A,Red,60,49,0.45,Not Conducted,Yes,No,Online,Yes,3,Fine Paid On Spot
VLT100064,Wrong Parking,831,Delhi,2023-03-06,15:38,Bus,Grey,2013,Uttar Pradesh,28,Male,Heavy Vehicle,2,Foggy,Under Construction,OFF1514,Traffic Police,Valid,1,N/A,Yes,Red,100,33,0.3,Not Conducted,No,Yes,Not Paid,Yes,3,First Violation
VLT100065,Drunk Driving,2570,Punjab,2023-03-07,14:57,Truck,White,2023,Karnataka,46,Other,Heavy Vehicle,7,Clear,Dry,OFF4844,RTO,Expired,5,N/A,N/A,Green,80,76,0.24,Positive,No,Yes,Card,Yes,4,Repeat Offender
VLT100066,Wrong Parking,1072,Tamil Nadu,2023-03-08,17:46,Scooter,Red,2005,Delhi,33,Other,Learner,5,Cloudy,Wet,OFF9768,Highway Patrol,Expired,3,Yes,Yes,Red,30,60,0.23,Negative,No,Yes,Not Paid,Yes,2,Repeat Offender
VLT100067,Drunk Driving,4826,Karnataka,2023-03-09,04:12,Bus,Silver,1997,Punjab,60,Female,Two-Wheeler,7,Foggy,Wet,OFF8021,Traffic Police,Valid,2,Yes,No,Yellow,50,88,0.11,Positive,No,No,Online,Yes,0,Repeat Offender
VLT100068,Wrong Parking,3076,West Bengal,2023-03-10,19:00,Bike,Yellow,2000,Maharashtra,44,Male,Heavy Vehicle,2,Clear,Wet,OFF4255,RTO,Valid,5,N/A,N/A,Yellow,80,23,0.03,Not Conducted,Yes,No,Not Paid,Yes,0,
VLT100069,Wrong Parking,3232,Uttar Pradesh,2023-03-11,13:50,Bus,Green,2020,Tamil Nadu,61,Male,Commercial,2,Clear,Dry,OFF7227,Highway Patrol,Expired,2,N/A,N/A,Yellow,80,99,0.18,Not Conducted,Yes,No,Online,No,0,Fine Paid On Spot
VLT100070,Drunk Driving,3604,Delhi,2023-03-12,06:33,Scooter,Silver,2000,Gujarat,32,Female,Two-Wheeler,2,Dust Storm,Potholes,OFF4617,Highway Patrol,Valid,3,No,No,Green,60,108,0.15,Positive,Yes,Yes,Cash,No,0,
VLT100071,Overloading,4577,Punjab,2023-03-13,11:00,Truck,Red,2003,West Bengal,74,Male,Two-Wheeler,7,Dust Storm,Dry,OFF9643,Highway Patrol,Suspended,3,No,No,Yellow,40,34,0.13,Not Conducted,No,No,Cash,No,1,Repeat Offender
VLT100072,Using Mobile Phone,4410,Maharashtra,2023-03-14,06:15,Truck,Yellow,2006,Gujarat,52,Female,Learner,5,Foggy,Wet,OFF8840,Highway Patrol,Expired,3,No,Yes,Green,40,77,0.15,Positive,Yes,Yes,Not Paid,Yes,4,Repeat Offender
VLT100073,Over-speeding,1054,Karnataka,2023-03-15,03:49,Auto Rickshaw,Yellow,2009,Uttar Pradesh,75,Other,Four-Wheeler,3,Dust Storm,Under Construction,OFF5339,Highway Patrol,Expired,2,N/A,N/A,Green,40,58,0.07,Negative,No,Yes,Online,Yes,3,Fine Paid On Spot
VLT100074,Over-speeding,2037,Uttar Pradesh,2023-03-16,07:36,Car,Yellow,2017,Delhi,41,Male,Two-Wheeler,9,Clear,Dry,OFF7157,Traffic Police,Suspended,3,N/A,No,Red,30,105,0.18,Positive,No,Yes,Online,No,4,Repeat Offender
VLT100075,Signal Jumping,1256,Punjab,2023-03-17,09:26,Truck,Red,2017,Punjab,45,Male,Commercial,6,Dust Storm,Wet,OFF7407,Local Police,Suspended,2,N/A,No,Red,30,28,0.32,Negative,No,Yes,Online,No,2,Fine Paid On Spot
VLT100076,Overloading,4679,Gujarat,2023-03-18,15:10,Scooter,White,2020,Uttar Pradesh,49,Other,Learner,6,Clear,Under Construction,OFF5618,RTO,Expired,5,N/A,No,Yellow,80,57,0.44,Positive,No,No,Online,Yes,2,Fine Paid On Spot
VLT100077,Wrong Parking,941,West Bengal,2023-03-19,09:00,Truck,Black,2004,Delhi,63,Male,Commercial,4,Cloudy,Dry,OFF5798,Highway Patrol,Expired,1,Yes,Yes,Green,30,85,0.45,Negative,No,No,Online,No,3,First Violation
VLT100078,No Seatbelt,2236,Gujarat,2023-03-20,12:41,Scooter,White,2022,Uttar Pradesh,57,Male,Two-Wheeler,4,Cloudy,Wet,OFF4922,Local Police,Valid,5,N/A,Yes,Green,100,109,0.09,Not Conducted,Yes,Yes,Cash,No,2,Repeat Offender
VLT100079,Over-speeding,4551,Uttar Pradesh,2023-03-21,02:54,Truck,Red,2018,West Bengal,49,Female,Two-Wheeler,7,Clear,Slippery,OFF9880,RTO,Valid,3,N/A,No,Yellow,30,101,0.24,Positive,No,No,Not Paid,Yes,2,
VLT100080,Driving Without License,4191,Gujarat,2023-03-22,11:16,Auto Rickshaw,Blue,2022,Uttar Pradesh,75,Male,Learner,8,Rainy,Dry,OFF7226,Local Police,Expired,1,Yes,N/A,Green,40,24,0.29,Not Conducted,Yes,Yes,Not Paid,Yes,3,Fine Paid On Spot
VLT100081,Drunk Driving,2215,Karnataka,2023-03-23,14:21,Bus,Red,2007,Punjab,65,Male,Four-Wheeler,8,Cloudy,Slippery,OFF5285,Traffic Police,Expired,4,N/A,Yes,Green,80,46,0.32,Not Conducted,No,Yes,Card,Yes,3,Fine Paid On Spot
VLT100082,Overloading,4912,Punjab,2023-03-24,18:26,Scooter,Grey,2001,Tamil Nadu,27,Other,Four-Wheeler,4,Dust Storm,Under Construction,OFF5583,Highway Patrol,Valid,4,Yes,Yes,Red,60,77,0.32,Negative,No,No,Card,Yes,1,First Violation
VLT100083,Driving Without License,1500,West Bengal,2023-03-25,10:03,Truck,Yellow,2015,Karnataka,74,Male,Two-Wheeler,6,Dust Storm,Slippery,OFF6589,Local Police,Expired,2,No,No,Green,100,60,0.21,Not Conducted,Yes,Yes,Online,Yes,1,First Violation
VLT100084,Drunk Driving,278,Uttar Pradesh,2023-03-26,14:58,Truck,Yellow,2001,Punjab,24,Male,Learner,9,Foggy,Potholes,OFF9543,Traffic Police,Valid,4,No,No,Red,80,44,0.19,Positive,Yes,No,Not Paid,Yes,4,
VLT100085,No Seatbelt,1839,West Bengal,2023-03-27,04:43,Auto Rickshaw,Red,2008,Uttar Pradesh,20,Other,Commercial,0,Rainy,Dry,OFF8507,Highway Patrol,Valid,2,No,Yes,Green,80,26,0.21,Not Conducted,Yes,Yes,Cash,No,3,Repeat Offender
VLT100086,Using Mobile Phone,842,Punjab,2023-03-28,12:32,Bike,Black,2010,Punjab,75,Female,Learner,7,Clear,Wet,OFF6340,Local Police,Expired,1,Yes,No,Green,80,26,0.22,Not Conducted,No,No,Cash,Yes,2,Repeat Offender
VLT100087,Driving Without License,508,Gujarat,2023-03-29,03:12,Auto Rickshaw,Grey,2023,Delhi,71,Male,Heavy Vehicle,8,Dust Storm,Dry,OFF9552,RTO,Expired,1,Yes,No,Red,80,68,0.48,Negative,Yes,Yes,Card,No,4,Fine Paid On Spot
VLT100088,Overloading,1071,Punjab,2023-03-30,20:51,Bus,Grey,2022,West Bengal,53,Other,Four-Wheeler,3,Rainy,Wet,OFF6295,Traffic Police,Valid,4,Yes,No,Green,50,40,0.32,Positive,No,No,Online,Yes,0,Repeat Offender
VLT100089,Drunk Driving,3330,Punjab,2023-03-31,09:32,Bike,Green,2001,Delhi,32,Male,Learner,0,Rainy,Potholes,OFF9896,Local Police,Valid,4,No,No,Green,60,106,0.19,Positive,Yes,No,Online,Yes,3,
VLT100090,Over-speeding,1794,West Bengal,2023-04-01,01:59,Car,Grey,2002,Uttar Pradesh,36,Female,Heavy Vehicle,8,Rainy,Under Construction,OFF6212,Traffic Police,Valid,5,Yes,N/A,Yellow,40,29,0.05,Positive,No,No,Cash,Yes,2,Fine Paid On Spot
VLT100091,No Helmet,563,Tamil Nadu,2023-04-02,11:18,Bus,Grey,2017,West Bengal,28,Male,Two-Wheeler,0,Rainy,Slippery,OFF2069,Local Police,Valid,4,No,No,Red,40,83,0.4,Negative,No,No,Not Paid,Yes,5,First Violation
VLT100092,Over-speeding,1492,Uttar Pradesh,2023-04-03,16:25,Scooter,Yellow,2009,Tamil Nadu,71,Male,Commercial,2,Foggy,Slippery,OFF6108,Traffic Police,Valid,4,Yes,N/A,Yellow,40,115,0.33,Positive,No,Yes,Not Paid,Yes,4,First Violation
VLT100093,Overloading,141,Uttar Pradesh,2023-04-04,11:21,Truck,White,2018,Maharashtra,18,Male,Four-Wheeler,9,Clear,Wet,OFF9071,Highway Patrol,Valid,5,Yes,Yes,Green,60,104,0.05,Negative,Yes,No,Online,No,3,First Violation
VLT100094,No Seatbelt,1368,Punjab,2023-04-05,19:34,Bus,Silver,2001,Delhi,31,Female,Learner,4,Rainy,Under Construction,OFF8983,Highway Patrol,Valid,3,No,Yes,Green,50,20,0.31,Negative,No,Yes,Online,No,3,
VLT100095,Drunk Driving,835,Tamil Nadu,2023-04-06,03:44,Bus,Blue,2003,Punjab,35,Female,Four-Wheeler,8,Cloudy,Dry,OFF2294,RTO,Suspended,4,No,No,Red,30,24,0.0,Not Conducted,No,Yes,Cash,No,2,Fine Paid On Spot
